predicate_id,predicate_label,predicate_description
P4185,iconographic symbol,"identifying element typically depicted as accompanying or worn by this religious figure, hero, fictional or historical character"
P425,field of this occupation,"field corresponding to this occupation or profession (use only for occupations/professions - for people use Property:P101, for companies use P452)"
P4292,possessed by spirit,item which is spiritually possessing this item
P4330,contains,"contents, item or substance located within this wrapping item, but not part of this receptacle or container; does not describe the ingredients or components of this container"
P4345,director of archaeological fieldwork,person leading the archaeological or anthropological investigation at a given site
P437,distribution format,method (or type) of distribution for the subject
P4379,youth wing,group of younger people associated with this organization
P4446,reward program,reward program associated with the item
P449,original broadcaster,network(s) or service(s) that originally broadcast a radio or television program
P450,astronaut mission,space mission that the subject is or has been a member of (do not include future missions)
P451,unmarried partner,someone with whom the person is in a relationship without being married. Use spouse (P26) for married couples
P452,industry,specific industry of company or organization
P4552,mountain range,range or subrange to which the geographical item belongs
P457,foundational text,text through which an institution or object has been created or established
P4584,first appearance,work in which a fictional/mythical character or entity first appeared
P4599,monomer of,polymer composed of this monomer subunits
P460,said to be the same as,"this item is said to be the same as that item, though this may be uncertain or disputed"
P4600,polymer of,monomer of which this polymer compose
P4608,scenographer,person who designed the stage or film set of this item
P461,opposite of,item that is in some way the opposite of this item
P4614,drainage basin,"area where precipitation collects and drains off into a common outlet, such as into a river, bay, or other body of water"
P462,color,color of subject
P463,member of,"organization, club or musical group to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a political position, such as a member of parliament (use P39 for that)"
P4647,location of first performance,"location where a work was first debuted, performed or broadcasted"
P466,occupant,person or organization occupying property
P4661,reservoir created,reservoir created upstream of a dam by this dam
P4675,appears in the form of,this fictional or mythical entity takes the form of that entity
P4688,geomorphological unit,topographic or bathymetric feature to which this geographical item belongs
P469,lake on watercourse,lake or reservoir through which the river or stream flows
P47,shares border with,"countries or administrative subdivisions, of equal level, that this item borders, either by land or water. A single common point is enough."
P4733,produced sound,"item for the sound generated by the subject, for instance the cry of an animal"
P4743,animal breed,"subject item belongs to a specific group of domestic animals, generally given by association"
P4777,has boundary,element that's on the two dimensional border that surrounds the subject; the limit of an entity
P4791,commanded by,"commander of a military unit/army/security service, operation, etc."
P4792,created by dam,construction impounding this watercourse or creating this reservoir
P4794,season starts,month or season when sports competition begins
P4805,make-up artist,person in charge of make-up
P483,recorded at studio or venue,studio or location where a musical composition/release was recorded
P485,archives at,the institution holding the subject's archives
P488,chairperson,"presiding member of an organization, group or body"
P4884,court,specific court a legal case is or was heard or decided in
P4913,dialect of,"language of which an item with this property is a dialect. Use in addition to ""subclass of"" (P279) if a languoid is also considered a dialect."
P495,country of origin,"country of origin of this item (creative work, food, phrase, product, etc.)"
P4954,may prevent disease,disease which may be prevented by this substance
P4967,prerequisite,"prior event or achievement that a person or team needs to complete before joining or obtaining the item topic, e.g. a qualifying round of a sports event, a lower-level course in an educational program, or a lower level of a professional qualification"
P4969,derivative work,"new work of art (film, book, software, etc.) derived from major part of this work"
P50,author,"main creator(s) of a written work (use on works, not humans); use P2093 (author name string) when Wikidata item is unknown or does not exist"
P500,exclave of,territory is legally or politically attached to a main territory with which it is not physically contiguous because of surrounding alien territory. It may also be an enclave.
P5004,in opposition to,object of a social action
P501,enclave within,territory is entirely surrounded (enclaved) by the other territory
P5021,assessment,"subject took the test or exam, or was assessed per test or method"
P5025,gens,a clan or group of families from Ancient Rome who shared the same nomen
P5028,sound designer,"person responsible for the sound on a stage, in a film or in a radio drama"
P5052,supervisory board member,member(s) of the supervisory board for the organization
P5056,patronym or matronym,"part of a person's name that comes from the given name of a parent, in naming traditions that require it"
P5059,modified version of,indicates the work or one of its versions which served as a basis for the adaptation or arrangement resulting in the given version of the work
P5072,presented in,"event at which a talk, film, paper, or poster was presented"
P509,cause of death,"underlying or immediate cause of death. Underlying cause (e.g. car accident, stomach cancer) preferred. Use 'manner of death' (P1196) for broadest category, e.g. natural causes, accident, homicide, suicide"
P5096,member of the crew of,"person who has been a member of a crew associated with the vessel or spacecraft. For spacecraft, inverse of crew member (P1029), backup or reserve team or crew (P3015)"
P5109,has grammatical gender,"specific form of noun class system of a language. Use qualifier ""statement is subject of"" (P805) to link to language specific item if present"
P511,honorific prefix,"word or expression used before a name, in addressing or referring to a person"
P512,academic degree,academic degree that the person holds
P5135,greater than,"instances of the item have a greater value than corresponding instances of the object, for the given measure"
P516,powered by,equipment or engine used by the subject to convert a source or energy into mechanical energy
P518,applies to part,"part, aspect, or form of the item to which the claim applies"
P520,armament,equippable weapon item for the subject
P5201,IMDA rating,rating in the Singaporean film and video game rating system
P5202,adapted by,person responsible for the arrangement or adaptation resulting in this version of the original work
P527,has part(s),"part of this subject; inverse property of ""part of"" (P361). See also ""has parts of the class"" (P2670)."
P53,family,"family, including dynasty and nobility houses. Not family name (use P734 for family name)."
P530,diplomatic relation,diplomatic relations of the country
P533,target,target of an attack or military operation
P5353,school district,school district to which a settlement or other item belongs
P54,member of sports team,sports teams or clubs that the subject represents or represented
P541,office contested,title of office which election will determine the next holder of
P5460,grants,"confers degree, honor, award, prize, title, certificate or medal denoting achievement to a person or organization"
P547,commemorates,"what or whom is commemorated by the place, monument, memorial, or holiday"
P550,chivalric order,the chivalric order which a person belongs to
P551,residence,"the place where the person is or has been, resident"
P5514,accredited by,"optionally use together with ""subject has role"" (P2868)"
P5572,expressed in,gene or protein is expressed during a specific condition/cell cycle/process/form
P559,terminus,"the feature (intersecting road, train station, etc.) at the end of a linear feature"
P562,central bank/issuer,central bank or other issuing authority for the currency
P5642,risk factor,"factor associated with a high prevalence of a particular gene, disease or characteristic. These factors can be country of origin, country of citizenship, race, gender, occupation, anamnesis, etc."
P566,has basionym,"the legitimate, previously published name on which a new combination or name at new rank is based"
P57,director,"director(s) of film, TV-series, stageplay, video game or similar"
P5707,samples from work,audio or video which this work uses a raw excerpt of
P5769,editor-in-chief,"a publication's editorial leader who has final responsibility for its operations and policies and the selection of authors, translators, illustrators, and formats for publishing articles or books in collections or periodical papers"
P58,screenwriter,person(s) who wrote the script for subject item
P5800,narrative role,narrative role of this character (should be used as a qualifier with P674 or restricted to a certain work using P10663)
P5816,state of conservation,"to indicate physical state of conservation of a building, monument, artifact, etc. E.g. ruinous, demolished, correct, etc."
P5869,model item,"defines which item is a best practice example of modelling a subject, which is described by the value of this property, usage instructions at Wikidata:Model items"
P5872,smells of,what an item is said to smell like
P5940,plot expanded in,a narrative of this creative work is expanded in another work while '''not necessarily''' being part of the same series. For series use P179 instead
P598,commander of (DEPRECATED),"for persons who are notable as commanding officers, the units they commanded"
P5998,distributary,stream that branches off and flows away from the river
P6,head of government,"head of the executive power of this town, city, municipality, state, country, or other governmental body"
P607,participated in conflict,"battles, wars or other military engagements in which the person or item participated"
P608,exhibition history,exhibitions where the item is or was displayed
P6087,coach of sports team,sports club or team for which this person is or was on-field manager or coach
P609,terminus location,location of the terminus of a linear feature
P61,discoverer or inventor,"subject who discovered, first described, invented, or developed this discovery or invention or scientific hypothesis or theory"
P610,highest point,point with highest elevation in a region or path
P6106,uses capitalization for,lexical classes and subclasses of words as well as other uses in the language where the first letter is written as a capital letter
P611,religious order,"order of monks or nuns to which an individual, religious house, or rule belongs"
P6118,season ends,to indicate what month of the year a sports season ends
P612,mother house,principal house or community for a religious institute
P6166,quotes work,"other creative work which this work quotes from textually, verbally or lyrically"
P618,source of energy,describes the source of energy an animated object (machine or animal) uses
P6185,tautomer of,target item is a tautomer of this one
P6216,copyright status,"copyright status for intellectual creations like works of art, publications, software, etc."
P6241,collection creator,"entity (person, organization, etc.) that caused a record or collection to be produced or gathered"
P6275,copyright representative,person or organisation who represents the copyright for this person or work of art
P629,edition or translation of,is an edition or translation of this entity
P6291,advertises,"cause, organization or product targeted by the advertising campaign, character, jingle or slogan"
P631,structural engineer,"person, group or organisation responsible for the structural engineering of a building or structure"
P636,route of administration,"path by which a drug, fluid, poison, or other substance is taken into the body"
P6364,official color,official colors chosen to represent or identify an item
P6379,has works in the collection,collection that has works of this person or organisation (use archives at [P485] for archives)
P641,sport,sport that the subject participates or participated in or is associated with
P6439,has lyrics,work whose text is used as the lyrics of this work
P6452,CBFC rating,rating in the Indian film rating system
P647,drafted by,which team the player was drafted by
P65,site of astronomical discovery,"the place where an astronomical object was discovered (observatory, satellite)"
P6531,observed in,"to be used as reference to location, condition, variant where upon the subject property object statement is based"
P655,translator,agent who adapts any kind of written text from one language to another
P6553,personal pronoun,personal pronoun(s) this person goes by
P658,tracklist,audio tracks contained in this release
P66,ancestral home,place of origin for ancestors of subject
P664,organizer,person or institution organizing an event
P669,located on street,"street, road, square, or trail, where the item is located. To add the number, use Property:P670 ""house number"" as qualifier. Use property P6375 ""street address"", if there is no item for the street"
P6718,music video,short film integrating this composition with imagery
P674,characters,"characters which appear in this item (like plays, operas, operettas, books, comics, films, TV series, video games)"
P6758,supported sports team,sports team for which a person or a group is a supporter
P676,lyricist,author of song lyrics
P680,molecular function,represents gene ontology function annotations
P6803,taxon found at location,"plant or animals taxon described as present in location, not countries or first-level subnational entities. Requires reference. Ref should cover a limited number of taxa for specific location."
P681,cell component,component of the cell in which this item is present
P682,biological process,is involved in the biological process
P684,ortholog,orthologous gene in another species (use with 'species' qualifier)
P6872,has written for,publication an author has contributed to
P6875,motif represents,"object or concept from which this motif is derived, or which it represents"
P688,encodes,the product of a gene (protein or RNA)
P6885,historical region,"geographic area which at some point in time had a cultural, ethnic, linguistic or political basis, regardless of present-day borders"
P6886,writing language,language in which the writer has written their work
P689,afflicts,"type of organism which a condition or disease afflicts (for an organ affected by a condition, use P927)"
P69,educated at,educational institution attended by subject
P6902,era name,era name for rulers in East Asia
P6942,animator,person creating animated sequences out of still images
P6962,narrative motif,"thematic unit in a narrative or literary work used to develop a theme, mood or plot"
P702,encoded by,the gene that encodes some gene product
P703,found in taxon,the taxon in which the item can be found
P7047,enemy,opponent character or group of this fictive character or group
P706,located in/on physical feature,located on the specified (geo)physical feature. Should not be used when the value is only political/administrative (P131) or a mountain range (P4552). Use P206 for things in/on bodies of water.
P708,diocese,administrative division of the church to which the element belongs; use P5607 for other types of ecclesiastical territorial entities
P7084,related category,Wikimedia category is related to this item
P710,participant,"person, group of people or organization (object) that actively takes/took part in an event or process (subject). Preferably qualify with ""object has role"" (P3831). Use P1923 for participants that are teams."
P7153,significant place,significant or notable places associated with the subject
P720,asteroid spectral type,"spectral classifications of asteroids based on spectral shape, color, and albedo"
P725,voice actor,"performer of a spoken role in a creative work such as animation, video game, radio drama, or dubbing over [use ""character role"" (P453) as qualifier] [use ""cast member"" (P161) for live acting]"
P7253,color produced,"color or color range produced by a dye, alone or with a mordant"
P726,candidate,person or party that is an option for an office in this election
P7309,has climbing route,route used to get closer to a high point
P736,cover art by,"name of person or team creating cover artwork for book, record album, single record etc."
P737,influenced by,"the subject (person, idea, etc.) was influenced or inspired by this object entity, e.g. ""Heidegger was influenced by Aristotle"""
P7374,educational stage,"educational stage of a specific school; qualifier of ""educated at"" (P69): the education stage of someone's attendance of school"
P740,location of formation,location where a group or organization was formed
P744,asteroid family,population of asteroids that share similar proper orbital elements
P747,has edition or translation,item that is an edition or translation of this item
P7479,key col,lowest col on the highest-running ridge path connecting to an even higher point
P749,parent organization or unit,"parent organization or unit of an organization or unit, opposite of child organization or unit (P355); use instance of (P31) to distinguish organization (Q43229) and organization unit (Q10387680)"
P750,distributed by,distributor of a creative work; distributor for a record label; news agency; film distributor
P7573,IFCO rating,rating certificate of a film in the Irish content classification system
P767,contributor to the creative work or subject,person or organization that contributed to a subject: co-creator of a creative work or subject
P768,electoral district,"electoral district this person is representing, or of the office that is being contested. Use as qualifier for position held (P39) or office contested (P541) or candidacy in election (P3602)"
P769,significant drug interaction,"clinically significant interaction between two pharmacologically active substances (i.e., drugs and/or active metabolites) where concomitant intake can lead to altered effectiveness or adverse drug events."
P770,cause of destruction,item which caused the destruction of the subject item
P7719,generalization of,theory/notion/statement/algorithm which in some sense this theory/notion/statement/algorithm generalizes
P7779,military unit,smallest military unit that a person is/was in
P7781,exonerated of,crime of which the subject was found not to be guilty after having previously been found guilty by a court for that crime
P78,top-level Internet domain,Internet domain name system top-level code
P780,symptoms and signs,possible symptoms or signs of a medical condition
P7888,merged into,"the subject was dissolved and merged into the object, that existed previously"
P790,approved by,item is approved by other item(s) [qualifier: statement is approved by other item(s)]
P793,significant event,significant or notable events associated with the subject
P7936,business model,business model a business enterprise or creative work operates under
P7937,form of creative work,structure of a creative work
P7938,associated electoral district,constituencies/electoral districts in which a place is located or is part of. If a municipality/county is split into or part of several districts: add several values. Use only if distinct from administrative entities (P131) in predefined countries
P795,located on linear feature,linear feature along which distance is specified from a specified datum point
P7959,historic county,"traditional, geographical division of Great Britain and Ireland"
P797,authority,entity having executive power on given entity
P800,notable work,"notable scientific, artistic or literary work, or other work of significance among subject's works"
P802,student,notable student(s) of the subject individual
P803,professorship,professorship position held by this academic person
P8031,perpetrator,"person or organization who carried out this harmful, illegal, or immoral act"
P8032,victim(s),person(s) who were harmed from an act or event
P807,separated from,subject was founded or started by separating from identified object
P81,connecting line,railway line(s) subject is directly connected to
P8115,eligible recipient,"party, group, person or so that is eligible to receive something, like an award, grant or prize"
P812,academic major,major someone studied at college/university
P8138,located in the statistical territorial entity,statistical territorial entity in which a place is located or is part of. If a municipality or county is split into or part of several regions: add several values
P822,mascot,"mascot of an organization, e.g. a sports team or university"
P823,speaker,"person who is speaker for this event, ceremony, keynote, presentation or in a literary work"
P825,dedicated to,person or organization to whom the subject was dedicated
P826,tonality,key of a musical composition
P828,has cause,"underlying cause, entity that ultimately resulted in this effect"
P832,public holiday,"official public holiday that occurs in this place in its honor, usually a non-working day"
P8324,funder,"entity that gives money to a person, organization, or project for a specific purpose"
P833,interchange station,"station to which passengers can transfer from this station, normally without extra expense"
P837,day in year for periodic occurrence,when a specific holiday or periodic event occurs. It can be used as statement or qualifier
P8371,"references work, tradition or theory","creative work, tradition or theory this creative work references by allusion, quote or similar means (for citations in scholarly and legal works use P2860, for other more specific properties have a look at ""see also"" on the property page)"
P84,architect,person or architectural firm responsible for designing this building
P840,narrative location,the narrative of the work is set in this location
P8403,theorized by,subject who suggested or proposed this concept or immaterial invention
P841,feast day,saint's principal feast day
P8411,set in environment,"environment (geographic feature, building type, etc.) the narrative work is set in"
P8413,academic appointment,this person has been appointed to a role within the given higher education institution or department; distinct from employment or affiliation
P8450,peak bagging classification,recognised peak bagging classification of a mountain or hill
P8453,public transport stop,"general (e.g. nearest) public transport stop (bus, tram, train, subway)"
P85,anthem,subject's official anthem
P8546,recording location,"location where a media item (sound, video, etc.) was recorded"
P8571,external auditor,"external company or person appointed to audit a business' or an organization's books, requirement for many companies"
P859,sponsor,organization or individual that sponsors this item
P86,composer,"person(s) who wrote the music [for lyricist, use ""lyrics by"" (P676)]"
P8625,bibliography,Wikimedia page that gives a selection of relevant texts on the given topic
P868,foods traditionally associated,"foods associated with an event, place, or people"
P8693,fandom,"fan group of a celebrity, musical group, artist, work, etc."
P87,librettist,"author of the libretto (words) of an opera, operetta, oratorio or cantata, or of the book of a musical"
P870,instrumentation,combination of musical instruments employed in a composition or accompanying a (folk) dance
P873,phase point,phase point to describe critical point and triple point (see talk page for an example)
P8738,permits,the norm or license permits people to engage in the object
P8744,economy of topic,item that deals with the economy of the subject
P8786,dedicated heritage entity,heritage entity dedicated to or associated with the item's subject
P88,commissioned by,person or organization that commissioned this work
P880,CPU,central processing unit found within the subject item
P8810,parent,parent of the subject. Only use if neither father (P22) nor mother (P25) nor stepparent (P3448) is applicable.
P8822,epithet,"has an epithet (byname), for a human, a character or a deity"
P8839,hairstyle / hairlength,"style or length of cutting, arranging, or combing the hair on the subject's scalp"
P885,origin of the watercourse,"main source of a river, stream or lake"
P8852,facial hair,"style of cutting, arranging, or combing the hair on the subject's face (usually on the chin, cheeks, and upper lip region); beard"
P8927,kunya,"teknonym in Arabic names, the name of an adult derived from their eldest child or from their characteristics"
P9071,character type,generic character type that this fictional character represents
P91,sexual orientation,"the sexual orientation of the person relative to their declared gender — use ONLY IF they have stated it themselves, unambiguously, or it has been widely agreed upon by historians after their death"
P912,has facility,"the subject item has this type of facility, e.g. toilet, car park"
P9139,first family name in Portuguese name,first (generally maternal) family name in Portuguese names
P915,filming location,"actual place where this scene/film was shot. For the setting, use ""narrative location"" (P840)"
P92,main regulatory text,text setting the main rules by which the subject is regulated
P921,main subject,primary topic of a work or act of communication
P9215,set during recurring event,"recurring event (e.g. time of day, season, month, holiday) during which this fictional work is set"
P9234,supplement to,subject work or edition updates or otherwise complements the object work or edition
P9237,reissue of,"reissue of musical work, release"
P924,possible treatment,health treatment used to resolve or ameliorate a medical condition
P927,anatomical location,where in the body or cell does this feature or condition lie or happen
P931,place served by transport hub,"territorial entity or entities served by this transport hub (airport, train station, etc.)"
P937,work location,"location where persons or organisations were actively participating in employment, business or other work"
P941,inspired by,"work, human, place or event which inspired this creative work or fictional entity"
P9419,personal library at,institution holding the subject’s personal library
P942,theme music,theme music/song used by the item
P943,programmer,the programmer that wrote the piece of software
P945,allegiance,country (or other power) that the person or group serves
P9493,artist files at,institution or collection that holds artist files about the subject
P97,noble title,titles held by the person
P9700,delta of,river that empties water and sediment into its delta
P972,catalog,"catalog for the item, or, as a qualifier of P528 – catalog for which the 'catalog code' is valid"
P974,tributary,watercourse that flows into an other one (for lake inflows use P200)
P9745,translation of,"edition, version or expression directly used as the source text for this translation"
P98,editor,"person who checks and corrects a work (such as a book, newspaper, academic journal, etc.) to comply with a rules of certain genre. Also applies to person who establishes the text of an ancient written work or manuscript."
P9813,container,the type or representing item that is located outside of and is not part of the item and fully contains it
P9899,music created for,"a work, event, etc. for which a musical composition was created (e.g., a play for which incidental music was composed; a ballet for which ballet music was written; a film for which motion picture music was created)"
P991,successful candidate,person(s) or political organization(s) elected after the election
P9929,madhhab,Islamic school of thought within Fiqh
P9969,catalogue raisonné,"comprehensive, annotated listing of all the known artworks by an artist either in a particular medium or all media."
P9977,isotopically modified form of,given molecular entity is a form with natural isotopic composition
